sample	CN_call	Prop	WGD
PC001-LN_1_R1	-4	0	WGD
PC001-LN_1_R1	-5	0	WGD
PC001-LN_1_R3	3	0.0012116174935461	Diploid
PC001-LN_1_R3	-3	0	Diploid
PC001-LN_1_R3	-5	0	Diploid
PC001-LN_1_R3	-4	0	Diploid
PC001-LN_1_R3	-6	0	Diploid
PC001-LN_1_R3	5	0.00290711423712473	Diploid
PC001-LN_1_R3	2	0.114407859058676	Diploid
PC001-LN_1_R3	-2	0	Diploid
PC001-LN_1_R3	4	0	Diploid
PC001-LN_1_R3	1	0.0962461452149499	Diploid
PC001-LN_1_R3	-1	0.0907308286240576	Diploid
PC001-LN_1_R3	0	0.694496435371646	Diploid
PC001-LN_2_R1	0	0.685199010269835	Diploid
PC001-LN_2_R1	4	0	Diploid
PC001-LN_2_R1	5	0.00265060824944441	Diploid
PC001-LN_2_R1	2	0.121941514022867	Diploid
PC001-LN_2_R1	3	0.00163084574862621	Diploid
PC001-LN_2_R1	-2	0	Diploid
PC001-LN_2_R1	1	0.110251800286538	Diploid
PC001-LN_2_R1	-5	0	Diploid
PC001-LN_2_R1	-1	0.0783262214226886	Diploid
PC001-LN_2_R1	-6	0	Diploid
PC001-LN_2_R1	-3	0	Diploid
PC001-LN_2_R1	-4	0	Diploid
PC001-LN_6_R1	3	0.00193416245391125	Diploid
PC001-LN_6_R1	1	0.23431966931742	Diploid
PC001-LN_6_R1	2	0.012027871054621	Diploid
PC001-LN_6_R1	-4	0	Diploid
PC001-LN_6_R1	0	0.634043512807365	Diploid
PC001-LN_6_R1	-6	0	Diploid
PC001-LN_6_R1	4	0	Diploid
PC001-LN_6_R1	-2	0	Diploid
PC001-LN_6_R1	-3	0	Diploid
PC001-LN_6_R1	5	0.00257657378030164	Diploid
PC001-LN_6_R1	-1	0.115098210586381	Diploid
PC001-LN_6_R1	-5	0	Diploid
PC001-LN_7_R1	3	0.000629141688638046	Diploid
PC001-LN_7_R1	0	0.695953039617782	Diploid
PC001-LN_7_R1	5	0.00265119093934034	Diploid
PC001-LN_7_R1	-2	0	Diploid
PC001-LN_7_R1	-5	0	Diploid
PC001-LN_7_R1	-3	0	Diploid
PC001-LN_7_R1	-4	0	Diploid
PC001-LN_7_R1	2	0.122268112157073	Diploid
PC001-LN_7_R1	-1	0.0851692019007949	Diploid
PC001-LN_7_R1	-6	0	Diploid
PC001-LN_7_R1	4	0	Diploid
PC001-LN_7_R1	1	0.093329313696372	Diploid
PC001-PR_1_R1	3	0.000227461761465992	Diploid
PC001-PR_1_R1	-2	0	Diploid
PC001-PR_1_R1	2	0.128038037150001	Diploid
PC001-PR_1_R1	0	0.698248534015274	Diploid
PC001-PR_1_R1	-6	0	Diploid
PC001-PR_1_R1	4	0.000151753983068448	Diploid
PC001-PR_1_R1	-4	0	Diploid
PC001-PR_1_R1	-5	0	Diploid
PC001-PR_1_R1	-3	0	Diploid
PC001-PR_1_R1	5	0.00257918070629053	Diploid
PC001-PR_1_R1	-1	0.0853717789921534	Diploid
PC001-PR_1_R1	1	0.0853832533917467	Diploid
PC001-PV_1_R1	-6	0	Diploid
PC001-PV_1_R1	-5	0	Diploid
PC001-PV_1_R1	5	0.00282105194618787	Diploid
PC001-PV_1_R1	-4	0	Diploid
PC001-PV_1_R1	3	0.000457869383490448	Diploid
PC001-PV_1_R1	4	0.00125391500828642	Diploid
PC001-PV_1_R1	2	0.0878377735481993	Diploid
PC001-PV_1_R1	-2	0.00052957403313811	Diploid
PC001-PV_1_R1	-1	0.0980218162873057	Diploid
PC001-PV_1_R1	0	0.67811905309016	Diploid
PC001-PV_1_R1	1	0.130958946703232	Diploid
PC001-PV_1_R1	-3	0	Diploid
PC001-PV_1_R2	-3	0	Diploid
PC001-PV_1_R2	-6	0	Diploid
PC001-PV_1_R2	-2	0	Diploid
PC001-PV_1_R2	-4	0	Diploid
PC001-PV_1_R2	-1	0.0853650545763693	Diploid
PC001-PV_1_R2	4	0.00125319206277285	Diploid
PC001-PV_1_R2	5	0.00249012159673062	Diploid
PC001-PV_1_R2	2	0.116497452829234	Diploid
PC001-PV_1_R2	-5	0	Diploid
PC001-PV_1_R2	3	0.000966158050929477	Diploid
PC001-PV_1_R2	1	0.108085614859094	Diploid
PC001-PV_1_R2	0	0.68534240602487	Diploid
PC001-SC_1_R1	-6	0	Diploid
PC001-SC_1_R1	2	0.0860507678802468	Diploid
PC001-SC_1_R1	4	0	Diploid
PC001-SC_1_R1	5	0.00264915315255756	Diploid
PC001-SC_1_R1	-2	0	Diploid
PC001-SC_1_R1	3	0.000628658111013145	Diploid
PC001-SC_1_R1	0	0.677010834570287	Diploid
PC001-SC_1_R1	1	0.126441357255423	Diploid
PC001-SC_1_R1	-5	0	Diploid
PC001-SC_1_R1	-4	0	Diploid
PC001-SC_1_R1	-3	0	Diploid
PC001-SC_1_R1	-1	0.107219229030473	Diploid
PC001-ST_2_R2	-2	0	Diploid
PC001-ST_2_R2	0	0.707625450339993	Diploid
PC001-ST_2_R2	3	0.00225970940674994	Diploid
PC001-ST_2_R2	4	0	Diploid
PC001-ST_2_R2	5	0.00257874145736186	Diploid
PC001-ST_2_R2	-4	0	Diploid
PC001-ST_2_R2	-6	0	Diploid
PC001-ST_2_R2	-3	0	Diploid
PC001-ST_2_R2	1	0.0908325026830956	Diploid
PC001-ST_2_R2	2	0.11831439672693	Diploid
PC001-ST_2_R2	-1	0.0783891993858695	Diploid
PC001-ST_2_R2	-5	0	Diploid
PC001-ST_4_R1	-4	0	Diploid
PC001-ST_4_R1	4	0	Diploid
PC001-ST_4_R1	5	0.00259039461340228	Diploid
PC001-ST_4_R1	0	0.702914945152642	Diploid
PC001-ST_4_R1	-6	0	Diploid
PC001-ST_4_R1	-2	0	Diploid
PC001-ST_4_R1	3	0.0119996831189794	Diploid
PC001-ST_4_R1	-1	0.0890506725225462	Diploid
PC001-ST_4_R1	1	0.107838393730482	Diploid
PC001-ST_4_R1	2	0.0856059108619484	Diploid
PC001-ST_4_R1	-3	0	Diploid
PC001-ST_4_R1	-5	0	Diploid
PC001-ST_5_R1	-4	0	Diploid
PC001-ST_5_R1	0	0.671803024848449	Diploid
PC001-ST_5_R1	-2	0	Diploid
PC001-ST_5_R1	4	0.00088675933349142	Diploid
PC001-ST_5_R1	5	0.00266650925189842	Diploid
PC001-ST_5_R1	3	0	Diploid
PC001-ST_5_R1	-1	0.0932035734592234	Diploid
PC001-ST_5_R1	-3	0	Diploid
PC001-ST_5_R1	1	0.222183009372131	Diploid
PC001-ST_5_R1	2	0.00925712373480686	Diploid
PC001-ST_5_R1	-6	0	Diploid
PC001-ST_5_R1	-5	0	Diploid
PC001-ST_5_R2	4	0.000886870328284897	Diploid
PC001-ST_5_R2	-6	0	Diploid
PC001-ST_5_R2	3	0	Diploid
PC001-ST_5_R2	-1	0.0931367165678227	Diploid
PC001-ST_5_R2	0	0.670071119499696	Diploid
PC001-ST_5_R2	-4	0	Diploid
PC001-ST_5_R2	2	0.0467449243995683	Diploid
PC001-ST_5_R2	-2	0	Diploid
PC001-ST_5_R2	5	0.00265650493856501	Diploid
PC001-ST_5_R2	1	0.186503864266063	Diploid
PC001-ST_5_R2	-5	0	Diploid
PC001-ST_5_R2	-3	0	Diploid
PC001-ST_5_R4	3	0.00208561645026646	Diploid
PC001-ST_5_R4	2	0.051506720897806	Diploid
PC001-ST_5_R4	-4	0	Diploid
PC001-ST_5_R4	1	0.213098107988446	Diploid
PC001-ST_5_R4	-6	0	Diploid
PC001-ST_5_R4	-2	0	Diploid
PC001-ST_5_R4	5	0.00257741943163081	Diploid
PC001-ST_5_R4	-3	0	Diploid
PC001-ST_5_R4	-1	0.0920253643810509	Diploid
PC001-ST_5_R4	-5	0	Diploid
PC001-ST_5_R4	0	0.638654687713805	Diploid
PC001-ST_5_R4	4	5.20831369950022e-05	Diploid
PC001-ST_9_R1	-6	0	Diploid
PC001-ST_9_R1	-2	0	Diploid
PC001-ST_9_R1	2	0.0411071955007288	Diploid
PC001-ST_9_R1	3	0.000263498001700685	Diploid
PC001-ST_9_R1	5	0.00389781797171342	Diploid
PC001-ST_9_R1	0	0.615948260884712	Diploid
PC001-ST_9_R1	-5	0	Diploid
PC001-ST_9_R1	4	0	Diploid
PC001-ST_9_R1	1	0.255553936390212	Diploid
PC001-ST_9_R1	-4	0	Diploid
PC001-ST_9_R1	-1	0.0832292912509332	Diploid
PC001-ST_9_R1	-3	0	Diploid
PC001-ST_1_R1	5	0.00265064288032119	Diploid
PC001-ST_1_R1	-3	0	Diploid
PC001-ST_1_R1	0	0.66874467779061	Diploid
PC001-ST_1_R1	-4	0	Diploid
PC001-ST_1_R1	3	6.07195759245717e-05	Diploid
PC001-ST_1_R1	4	0	Diploid
PC001-ST_1_R1	-6	0	Diploid
PC001-ST_1_R1	2	0.0371854582800785	Diploid
PC001-ST_1_R1	1	0.178077261628324	Diploid
PC001-ST_1_R1	-2	0	Diploid
PC001-ST_1_R1	-5	0	Diploid
PC001-ST_1_R1	-1	0.113281239844742	Diploid
PC001-ST_1_R3	-3	0	Diploid
PC001-ST_1_R3	3	0.000231447808361009	Diploid
PC001-ST_1_R3	1	0.16652919177263	Diploid
PC001-ST_1_R3	5	0.00257610153542115	Diploid
PC001-ST_1_R3	-2	0	Diploid
PC001-ST_1_R3	-1	0.124451666177871	Diploid
PC001-ST_1_R3	4	0	Diploid
PC001-ST_1_R3	-4	0	Diploid
PC001-ST_1_R3	-6	0	Diploid
PC001-ST_1_R3	0	0.640129176526656	Diploid
PC001-ST_1_R3	-5	0	Diploid
PC001-ST_1_R3	2	0.0660824161790604	Diploid
PC001-ST_1_R5	-3	0	Diploid
PC001-ST_1_R5	4	0	Diploid
PC001-ST_1_R5	3	0.000231564080706357	Diploid
PC001-ST_1_R5	0	0.669241081150121	Diploid
PC001-ST_1_R5	2	0.0824784480109748	Diploid
PC001-ST_1_R5	-5	0	Diploid
PC001-ST_1_R5	5	0.002649016551338	Diploid
PC001-ST_1_R5	-2	0	Diploid
PC001-ST_1_R5	-1	0.103079316570508	Diploid
PC001-ST_1_R5	-6	0	Diploid
PC001-ST_1_R5	-4	0	Diploid
PC001-ST_1_R5	1	0.142320573636352	Diploid
PC002-BR_12_R1	4	0	WGD
PC002-BR_12_R1	3	0.00236591991832076	WGD
PC002-BR_12_R1	5	0	WGD
PC002-BR_12_R1	-2	0.523566924532372	WGD
PC002-BR_12_R1	2	0.0394848754609688	WGD
PC002-BR_12_R1	-3	0.0445494581473065	WGD
PC002-BR_12_R1	1	0.014834323716781	WGD
PC002-BR_12_R1	0	0.0449652878197019	WGD
PC002-BR_12_R1	-5	0	WGD
PC002-BR_12_R1	-4	0	WGD
PC002-BR_12_R1	-6	0	WGD
PC002-BR_12_R1	-1	0.330233210404549	WGD
PC002-BR_13_R1	-5	0	WGD
PC002-BR_13_R1	1	0.0138115604079897	WGD
PC002-BR_13_R1	-6	0	WGD
PC002-BR_13_R1	-3	0.0671197975173605	WGD
PC002-BR_13_R1	-4	0.000719744050172771	WGD
PC002-BR_13_R1	-2	0.505379160349595	WGD
PC002-BR_13_R1	5	0	WGD
PC002-BR_13_R1	2	0.0407806283985165	WGD
PC002-BR_13_R1	3	0.00236599082339868	WGD
PC002-BR_13_R1	4	0	WGD
PC002-BR_13_R1	0	0.0492847313303457	WGD
PC002-BR_13_R1	-1	0.320538387122621	WGD
PC002-BR_4_R1	5	0	WGD
PC002-BR_4_R1	2	0.0403620808554328	WGD
PC002-BR_4_R1	0	0.0450076198446795	WGD
PC002-BR_4_R1	4	0	WGD
PC002-BR_4_R1	-6	0	WGD
PC002-BR_4_R1	-1	0.353279534218016	WGD
PC002-BR_4_R1	1	0.0108167379973896	WGD
PC002-BR_4_R1	-3	0.0176950274750017	WGD
PC002-BR_4_R1	-4	0	WGD
PC002-BR_4_R1	-5	0	WGD
PC002-BR_4_R1	-2	0.530473008786082	WGD
PC002-BR_4_R1	3	0.00236599082339868	WGD
PC002-BR_5_R1	0	0.0535119685173507	WGD
PC002-BR_5_R1	5	0	WGD
PC002-BR_5_R1	-3	0.0361975476215342	WGD
PC002-BR_5_R1	-1	0.301896134919771	WGD
PC002-BR_5_R1	-5	0	WGD
PC002-BR_5_R1	1	0.00454792207600778	WGD
PC002-BR_5_R1	-6	0	WGD
PC002-BR_5_R1	2	0.0394873448935944	WGD
PC002-BR_5_R1	-4	0	WGD
PC002-BR_5_R1	3	0.00236591383566814	WGD
PC002-BR_5_R1	4	0	WGD
PC002-BR_5_R1	-2	0.561993168136074	WGD
PC002-BR_7_R1	-3	0.0445507932655313	WGD
PC002-BR_7_R1	-6	0	WGD
PC002-BR_7_R1	-1	0.34280671977318	WGD
PC002-BR_7_R1	0	0.0444676012773052	WGD
PC002-BR_7_R1	-2	0.511571088994548	WGD
PC002-BR_7_R1	2	0.0403620808554328	WGD
PC002-BR_7_R1	-4	0	WGD
PC002-BR_7_R1	4	0	WGD
PC002-BR_7_R1	3	0.00236599082339868	WGD
PC002-BR_7_R1	-5	0	WGD
PC002-BR_7_R1	5	0	WGD
PC002-BR_7_R1	1	0.0138757250106037	WGD
PC002-BR_8_R1	5	0.00113122809269307	Diploid
PC002-BR_8_R1	-6	0	Diploid
PC002-BR_8_R1	-2	0.000719023670314674	Diploid
PC002-BR_8_R1	-4	0	Diploid
PC002-BR_8_R1	0	0.430879367601295	Diploid
PC002-BR_8_R1	3	0.00115847374196318	Diploid
PC002-BR_8_R1	-5	0	Diploid
PC002-BR_8_R1	2	0.0434568368588416	Diploid
PC002-BR_8_R1	4	7.3920907848665e-05	Diploid
PC002-BR_8_R1	1	0.0360968081414792	Diploid
PC002-BR_8_R1	-1	0.486484340985565	Diploid
PC002-BR_8_R1	-3	0	Diploid
PC002-LU-R1	1	0.107577236125053	WGD
PC002-LU-R1	-5	0.000719287384022356	WGD
PC002-LU-R1	-6	0	WGD
PC002-LU-R1	-2	0.292211672802096	WGD
PC002-LU-R1	-4	0.138120431208081	WGD
PC002-LU-R1	3	0	WGD
PC002-LU-R1	2	0	WGD
PC002-LU-R1	4	0	WGD
PC002-LU-R1	5	0	WGD
PC002-LU-R1	0	0.0862264246432475	WGD
PC002-LU-R1	-3	0.291511905321877	WGD
PC002-LU-R1	-1	0.0836330425156236	WGD
PC002-LU-R2	-5	0	Diploid
PC002-LU-R2	-6	0	Diploid
PC002-LU-R2	3	0.0355223086255783	Diploid
PC002-LU-R2	-2	0	Diploid
PC002-LU-R2	2	0.0630597409660043	Diploid
PC002-LU-R2	4	8.86773626017661e-05	Diploid
PC002-LU-R2	1	0.313511873426437	Diploid
PC002-LU-R2	-4	0	Diploid
PC002-LU-R2	0	0.559077468157701	Diploid
PC002-LU-R2	5	0.000889741689652411	Diploid
PC002-LU-R2	-1	0.0278501897720253	Diploid
PC002-LU-R2	-3	0	Diploid
PC003-BR_1_R1	-6	0	Diploid
PC003-BR_1_R1	2	0.0177728426685901	Diploid
PC003-BR_1_R1	-1	0.0313725989710304	Diploid
PC003-BR_1_R1	-2	0	Diploid
PC003-BR_1_R1	4	0.000909610371295548	Diploid
PC003-BR_1_R1	3	0.00178295434631907	Diploid
PC003-BR_1_R1	5	0	Diploid
PC003-BR_1_R1	0	0.852494446520627	Diploid
PC003-BR_1_R1	1	0.0956675471221377	Diploid
PC003-BR_1_R1	-5	0	Diploid
PC003-BR_1_R1	-3	0	Diploid
PC003-BR_1_R1	-4	0	Diploid
PC003-DI_2_R2	3	0.00179472438278862	WGD
PC003-DI_2_R2	-4	0	WGD
PC003-DI_2_R2	4	0	WGD
PC003-DI_2_R2	-2	0.280665792513792	WGD
PC003-DI_2_R2	5	0	WGD
PC003-DI_2_R2	-3	0.00267437342690015	WGD
PC003-DI_2_R2	-5	0	WGD
PC003-DI_2_R2	-6	0	WGD
PC003-DI_2_R2	0	0.213886171364611	WGD
PC003-DI_2_R2	-1	0.449652353377799	WGD
PC003-DI_2_R2	1	0.0366157219232485	WGD
PC003-DI_2_R2	2	0.0147108630108609	WGD
PC003-LN_2_R1	1	0.0368710421121148	WGD
PC003-LN_2_R1	5	0	WGD
PC003-LN_2_R1	-5	0	WGD
PC003-LN_2_R1	3	0.00179346748323037	WGD
PC003-LN_2_R1	4	0	WGD
PC003-LN_2_R1	-4	0	WGD
PC003-LN_2_R1	-2	0.276838885927281	WGD
PC003-LN_2_R1	-3	0.00431312248116227	WGD
PC003-LN_2_R1	0	0.214024581602486	WGD
PC003-LN_2_R1	-1	0.452834833662004	WGD
PC003-LN_2_R1	2	0.0133240667317217	WGD
PC003-LN_2_R1	-6	0	WGD
PC003-LN_4_R3	-5	0	WGD
PC003-LN_4_R3	2	0.0367956696527532	WGD
PC003-LN_4_R3	-2	0.206543705661655	WGD
PC003-LN_4_R3	-4	0	WGD
PC003-LN_4_R3	4	0	WGD
PC003-LN_4_R3	-1	0.230757477711955	WGD
PC003-LN_4_R3	5	0	WGD
PC003-LN_4_R3	0	0.509021960625061	WGD
PC003-LN_4_R3	3	0.00180885056210173	WGD
PC003-LN_4_R3	1	0.0107490875523369	WGD
PC003-LN_4_R3	-3	0.00432324823413816	WGD
PC003-LN_4_R3	-6	0	WGD
PC003-LN_1_R3	-5	0	WGD
PC003-LN_1_R3	-4	0	WGD
PC003-LN_1_R3	3	0	WGD
PC003-LN_1_R3	1	0.0373294859145961	WGD
PC003-LN_1_R3	0	0.463171420957885	WGD
PC003-LN_1_R3	4	0	WGD
PC003-LN_1_R3	-1	0.277375484335511	WGD
PC003-LN_1_R3	-3	1.24553099830739e-05	WGD
PC003-LN_1_R3	5	0	WGD
PC003-LN_1_R3	-2	0.207623106443953	WGD
PC003-LN_1_R3	-6	0	WGD
PC003-LN_1_R3	2	0.0144880470380711	WGD
PC003-LU_1_R1	4	0	WGD
PC003-LU_1_R1	1	0.0197264156901217	WGD
PC003-LU_1_R1	0	0.524077993857329	WGD
PC003-LU_1_R1	3	1.11339759041887e-05	WGD
PC003-LU_1_R1	-3	0.00146393149773842	WGD
PC003-LU_1_R1	-2	0.202130786221714	WGD
PC003-LU_1_R1	-4	0	WGD
PC003-LU_1_R1	5	0	WGD
PC003-LU_1_R1	2	0.035189280850311	WGD
PC003-LU_1_R1	-1	0.217400457906882	WGD
PC003-LU_1_R1	-5	0	WGD
PC003-LU_1_R1	-6	0	WGD
PC003-LU_7_R1	2	0.0368691495536399	WGD
PC003-LU_7_R1	4	0	WGD
PC003-LU_7_R1	-1	0.16621913895878	WGD
PC003-LU_7_R1	1	0.0155005751267724	WGD
PC003-LU_7_R1	0	0.572973630639146	WGD
PC003-LU_7_R1	3	0.00181246278498764	WGD
PC003-LU_7_R1	-2	0.202573019487122	WGD
PC003-LU_7_R1	-4	0	WGD
PC003-LU_7_R1	5	0	WGD
PC003-LU_7_R1	-3	0.00405202344955235	WGD
PC003-LU_7_R1	-6	0	WGD
PC003-LU_7_R1	-5	0	WGD
PC003-LU_9_R1	-1	0.452938951442948	WGD
PC003-LU_9_R1	-5	0	WGD
PC003-LU_9_R1	0	0.214266817689503	WGD
PC003-LU_9_R1	-6	0	WGD
PC003-LU_9_R1	-2	0.277065637039769	WGD
PC003-LU_9_R1	-4	0	WGD
PC003-LU_9_R1	3	0.00179391642960343	WGD
PC003-LU_9_R1	-3	0.00404794475047272	WGD
PC003-LU_9_R1	4	0	WGD
PC003-LU_9_R1	5	0	WGD
PC003-LU_9_R1	1	0.0365593305940494	WGD
PC003-LU_9_R1	2	0.0133274020536551	WGD
PC003-LU_9_R2	3	0.00179740430933279	WGD
PC003-LU_9_R2	-6	0	WGD
PC003-LU_9_R2	5	0	WGD
PC003-LU_9_R2	-5	0	WGD
PC003-LU_9_R2	-3	0.00432259018176213	WGD
PC003-LU_9_R2	-2	0.290920981938622	WGD
PC003-LU_9_R2	0	0.215812613364528	WGD
PC003-LU_9_R2	-4	0	WGD
PC003-LU_9_R2	4	0	WGD
PC003-LU_9_R2	2	0.0133533142838465	WGD
PC003-LU_9_R2	-1	0.438191035864084	WGD
PC003-LU_9_R2	1	0.0356020600578241	WGD
PC003-PC_1_R1	-4	0	WGD
PC003-PC_1_R1	1	0.0392171171860538	WGD
PC003-PC_1_R1	4	0	WGD
PC003-PC_1_R1	2	0.034540455114842	WGD
PC003-PC_1_R1	-5	0	WGD
PC003-PC_1_R1	-2	0.202870306896166	WGD
PC003-PC_1_R1	0	0.517558778928264	WGD
PC003-PC_1_R1	-1	0.191527599459817	WGD
PC003-PC_1_R1	3	0.0142732943820698	WGD
PC003-PC_1_R1	-3	1.24480327877333e-05	WGD
PC003-PC_1_R1	-6	0	WGD
PC003-PC_1_R1	5	0	WGD
PC003-PLFa_1_R1	-2	0.370704315462835	WGD
PC003-PLFa_1_R1	3	0	WGD
PC003-PLFa_1_R1	-6	0.000761035943712493	WGD
PC003-PLFa_1_R1	5	0	WGD
PC003-PLFa_1_R1	-1	0.311104069872067	WGD
PC003-PLFa_1_R1	4	0	WGD
PC003-PLFa_1_R1	-3	0.139039435857922	WGD
PC003-PLFa_1_R1	1	0.0368961305788186	WGD
PC003-PLFa_1_R1	-4	0.124334906047432	WGD
PC003-PLFa_1_R1	-5	0.000889550825865327	WGD
PC003-PLFa_1_R1	2	0	WGD
PC003-PLFa_1_R1	0	0.0162705554113478	WGD
PC003-PR_1_R1	-4	0	Diploid
PC003-PR_1_R1	1	0.0897513556845226	Diploid
PC003-PR_1_R1	-1	0.0674151155924399	Diploid
PC003-PR_1_R1	-5	0	Diploid
PC003-PR_1_R1	0	0.822352171532481	Diploid
PC003-PR_1_R1	-2	0	Diploid
PC003-PR_1_R1	2	0.0201953162686477	Diploid
PC003-PR_1_R1	-6	0	Diploid
PC003-PR_1_R1	4	0	Diploid
PC003-PR_1_R1	3	0.000286040921908368	Diploid
PC003-PR_1_R1	5	0	Diploid
PC003-PR_1_R1	-3	0	Diploid
PC003-PR_1_R2	-4	0	Diploid
PC003-PR_1_R2	-6	0	Diploid
PC003-PR_1_R2	2	0.0283841071477281	Diploid
PC003-PR_1_R2	3	0.0116715895445342	Diploid
PC003-PR_1_R2	-1	0.0395543169529754	Diploid
PC003-PR_1_R2	0	0.537017728102448	Diploid
PC003-PR_1_R2	5	0	Diploid
PC003-PR_1_R2	-2	0	Diploid
PC003-PR_1_R2	-3	0	Diploid
PC003-PR_1_R2	1	0.378074014746663	Diploid
PC003-PR_1_R2	4	0.00529824350565131	Diploid
PC003-PR_1_R2	-5	0	Diploid
PC004-BR_3_R2	-3	0	Diploid
PC004-BR_3_R2	5	0	Diploid
PC004-BR_3_R2	1	0.0238402193120377	Diploid
PC004-BR_3_R2	-6	0	Diploid
PC004-BR_3_R2	2	0.0412827101075982	Diploid
PC004-BR_3_R2	0	0.734244215530547	Diploid
PC004-BR_3_R2	-5	0	Diploid
PC004-BR_3_R2	-1	0.175936619922437	Diploid
PC004-BR_3_R2	-2	0	Diploid
PC004-BR_3_R2	-4	0	Diploid
PC004-BR_3_R2	3	0.0246962351273801	Diploid
PC004-BR_3_R2	4	0	Diploid
PC004-BR_8_R1	-3	0	Diploid
PC004-BR_8_R1	-2	0	Diploid
PC004-BR_8_R1	0	0.70692929282333	Diploid
PC004-BR_8_R1	-1	0.156762310655385	Diploid
PC004-BR_8_R1	5	0	Diploid
PC004-BR_8_R1	4	0.000161311901543477	Diploid
PC004-BR_8_R1	2	0.0163890306166014	Diploid
PC004-BR_8_R1	-6	0	Diploid
PC004-BR_8_R1	1	0.0915210657639292	Diploid
PC004-BR_8_R1	-5	0	Diploid
PC004-BR_8_R1	3	0.0282369882392107	Diploid
PC004-BR_8_R1	-4	0	Diploid
PC004-BR_11_R1	-2	0	Diploid
PC004-BR_11_R1	0	0.722880560323404	Diploid
PC004-BR_11_R1	-3	0	Diploid
PC004-BR_11_R1	-5	0	Diploid
PC004-BR_11_R1	3	0.000536387679722597	Diploid
PC004-BR_11_R1	-1	0.0982784051471149	Diploid
PC004-BR_11_R1	1	0.145586550397629	Diploid
PC004-BR_11_R1	2	0.0314325273350101	Diploid
PC004-BR_11_R1	4	0.00128556911711996	Diploid
PC004-BR_11_R1	-6	0	Diploid
PC004-BR_11_R1	5	0	Diploid
PC004-BR_11_R1	-4	0	Diploid
PC004-BR_13_R1	-3	0	Diploid
PC004-BR_13_R1	-2	0	Diploid
PC004-BR_13_R1	-6	0	Diploid
PC004-BR_13_R1	-5	0	Diploid
PC004-BR_13_R1	2	0.0391768776041887	Diploid
PC004-BR_13_R1	-4	0	Diploid
PC004-BR_13_R1	3	9.77122273551163e-06	Diploid
PC004-BR_13_R1	1	0.155562706318564	Diploid
PC004-BR_13_R1	5	0	Diploid
PC004-BR_13_R1	-1	0.136536794249837	Diploid
PC004-BR_13_R1	4	0	Diploid
PC004-BR_13_R1	0	0.668713850604675	Diploid
PC004-LMS_1_R1	-1	0.203400717052651	Diploid
PC004-LMS_1_R1	-3	0	Diploid
PC004-LMS_1_R1	4	0	Diploid
PC004-LMS_1_R1	3	0.00182160770527578	Diploid
PC004-LMS_1_R1	-2	0	Diploid
PC004-LMS_1_R1	2	0.000368223651744578	Diploid
PC004-LMS_1_R1	-5	0	Diploid
PC004-LMS_1_R1	0	0.646519074573138	Diploid
PC004-LMS_1_R1	-6	0	Diploid
PC004-LMS_1_R1	5	0	Diploid
PC004-LMS_1_R1	-4	0	Diploid
PC004-LMS_1_R1	1	0.147890377017191	Diploid
PC004-LMS_2_R2	2	6.68995549344344e-05	Diploid
